layer,key_d_eff_mean,key_d_eff_std,val_d_eff_mean,val_d_eff_std,key_kappa_mean,val_kappa_mean
0,31.457,1.604,32.335,4.196,1.035,1.011
1,26.421,9.768,38.081,11.484,1.161,1.006
2,44.643,4.019,56.169,5.048,1.021,1.01
3,38.309,8.311,56.171,6.545,1.031,1.013
4,45.581,8.877,54.946,1.583,1.014,1.019
5,39.863,11.938,56.206,3.823,1.017,1.016
6,50.217,9.668,35.979,1.99,1.021,1.027
7,30.312,8.494,43.313,4.442,1.08,1.02
8,41.955,4.229,56.028,4.612,1.045,1.022
9,41.575,1.988,54.121,18.412,1.019,1.018
10,33.01,4.851,62.45,13.654,1.041,1.013
11,36.209,5.334,44.142,4.922,1.021,1.022
12,42.374,3.128,49.145,5.953,1.031,1.016
13,36.362,0.476,45.647,6.456,1.017,1.028
14,32.41,1.25,52.085,7.897,1.065,1.018
15,29.228,6.166,68.604,0.681,1.032,1.009
16,32.239,1.913,60.548,14.839,1.034,1.006
17,32.852,4.125,52.248,11.386,1.049,1.012
18,35.532,1.354,52.376,7.431,1.049,1.008
19,28.386,3.465,62.986,0.11,1.073,1.013
20,33.091,3.001,69.804,10.726,1.031,1.01
21,31.185,3.861,49.526,15.893,1.032,1.019
22,37.92,4.49,68.633,6.576,1.044,1.016
23,35.072,5.469,67.562,4.031,1.05,1.008
24,33.778,3.571,67.846,5.698,1.025,1.011
25,35.396,10.491,68.538,5.507,1.029,1.005
26,24.4,1.043,81.184,0.951,1.046,1.005
27,25.501,2.968,79.657,1.304,1.022,1.006
